STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-10T17:52:00,"22000,1,9,N","+0180,1","10129,1","+0280,1","016093,1,N,1","160,1,N,0082,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T18:00:00,"22000,5,M,N","+0178,5","10129,5","+0278,5","016000,5,N,1","160,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T18:52:00,"22000,5,M,N","+0183,5","10124,5","+0289,5","016000,5,N,1","150,5,N,0077,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T19:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T19:52:00,"22000,5,M,N","+0178,5","10124,5","+0283,5","016000,5,N,1","150,5,N,0082,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T20:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T20:52:00,"22000,1,9,N","+0180,1","10125,1","+0270,1","016093,1,N,1","140,1,N,0072,1"
72353013967,35.3889,-97.6006,391.7,2004-05-10T21:00:00,"22000,5,M,N","+0183,5","10125,5","+0272,5","016000,5,N,1","140,5,N,0072,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T21:52:00,"22000,5,M,N","+0183,5","10114,5","+0272,5","016000,5,N,1","150,5,N,0077,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T22:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-10T22:52:00,"07315,5,M,N","+0178,5","10113,5","+0267,5","016000,5,N,1","150,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-10T23:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
